location,community,nfmembers,membership,ntfp,murumuru,pataua,palmito,wood,sawmill,farinha,pepper,agriculture,acai,passionf,cocoa,cupuacu,fishing,chicken,crab,shrimp,defeso,bverde,bfamilia,pension,other,total,community
Tomé-Açu,Santa Luzia,4,1,0,0,0,0,0,0,0,46800,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,48600,Tomé-Açu
Tomé-Açu,São José,4,1,0,0,0,0,0,0,0,27000,0,350,0,1925,2000,0,0,0,0,0,0,840,0,0,32115,Tomé-Açu
Tomé-Açu,Santa Luzia,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,12000,12360,Tomé-Açu
Tomé-Açu,Santa Luzia,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10560,3600,14160,Tomé-Açu
Tomé-Açu,Santa Luzia,2,0,0,0,0,0,0,0,0,22500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22500,Tomé-Açu
Tomé-Açu,Santa Luzia,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10560,0,10560,Tomé-Açu
Tomé-Açu,Santa Luzia,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3162,0,12000,15162,Tomé-Açu
Tomé-Açu,Santa Luzia,1,0,0,0,0,0,0,0,0,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000,Tomé-Açu
Tomé-Açu,Santa Luzia,3,0,0,0,0,0,0,0,0,90000,0,0,0,2400,720,0,0,0,0,0,0,0,0,0,93120,Tomé-Açu
Tomé-Açu,Santa Luzia,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,Tomé-Açu
Tomé-Açu,Santa Luzia,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10560,0,10560,Tomé-Açu
Tomé-Açu,Santa Luzia,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752,0,5400,7152,Tomé-Açu
Tomé-Açu,Santa Luzia,4,0,0,0,0,0,0,0,0,40000,0,2160,0,2520,0,0,0,0,0,0,0,0,0,0,44680,Tomé-Açu
Tomé-Açu,Bragantina,2,0,0,0,0,0,0,0,0,58500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58500,Tomé-Açu
Tomé-Açu,Vila Forquilha,5,0,0,0,0,0,0,0,0,180000,0,8000,7800,0,13000,0,0,0,0,0,0,0,0,0,208800,Tomé-Açu
Tomé-Açu,Bragantina,4,0,0,0,0,0,0,0,0,28000,0,450,0,1200,0,0,0,0,0,0,0,1920,0,0,31570,Tomé-Açu
Tomé-Açu,Bragantina,3,0,0,0,0,0,0,0,0,9450,0,7500,0,0,0,0,0,0,0,0,0,0,10024,0,26974,Tomé-Açu
Tomé-Açu,Caninde,6,0,0,0,0,0,0,0,0,87000,0,0,2000,0,14000,0,0,0,0,0,0,0,9456,9456,121912,Tomé-Açu
Tomé-Açu,Santa Luzia,4,0,0,0,0,0,0,0,0,5200,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,23200,Tomé-Açu
Tomé-Açu,Santa Luzia,4,0,0,0,0,0,0,0,0,81000,0,0,0,0,6500,0,0,0,0,0,0,1680,0,0,89180,Tomé-Açu
Tomé-Açu,Santa Luzia,1,0,0,0,0,0,0,0,0,54000,0,0,360,0,5040,0,0,0,0,0,0,2400,0,0,61800,Tomé-Açu
Tomé-Açu,Santa Luzia,3,0,0,0,0,0,0,0,0,290000,0,0,0,700,1800,0,0,0,0,0,0,1344,0,0,293844,Tomé-Açu
Tomé-Açu,Santa Luzia,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1404,0,3200,4604,Tomé-Açu
Tomé-Açu,Santa Luzia,1,0,0,0,0,0,0,0,0,64400,0,0,0,825,960,0,0,0,0,0,0,0,0,0,66185,Tomé-Açu
Tomé-Açu,Santa Luzia,3,0,0,0,0,0,0,0,0,46400,0,500,0,6000,300,0,0,0,0,0,0,0,10024,0,63224,Tomé-Açu
